family_id, family_name
584,Abyssocottidae
412,Acanthuridae
593,Acestrorhynchidae
516,Achiridae
523,Achiropsettidae
32,Acipenseridae
512,Acropomatidae
210,Adrianichthyidae
717,Aetobatidae
283,Agonidae
721,Ailiidae
137,Akysidae
48,Albulidae
171,Alepisauridae
86,Alepocephalidae
518,Alestidae
486,Alopiidae
420,Amarsipidae
509,Ambassidae
135,Amblycipitidae
178,Amblyopsidae
35,Amiidae
402,Ammodytidae
136,Amphiliidae
426,Anabantidae
214,Anablepidae
524,Anacanthobatidae
396,Anarhichadidae
660,Anchariidae
49,Anguillidae
242,Anomalopidae
239,Anoplogastridae
270,Anoplopomatidae
559,Anostomidae
172,Anotopteridae
192,Antennariidae
177,Aphredoderidae
473,Aphyonidae
576,Apistidae
268,Aploactinidae
476,Aplocheilidae
354,Aplodactylidae
304,Apogonidae
545,Apteronotidae
633,Aracanidae
628,Arapaimidae
83,Argentinidae
685,Arhynchobatidae
145,Ariidae
423,Ariommatidae
321,Arripidae
591,Artedidraconidae
148,Aspredinidae
158,Astroblepidae
228,Ateleopodidae
218,Atherinidae
623,Atherinopsidae
147,Auchenipteridae
159,Aulopidae
572,Aulorhynchidae
253,Aulostomidae
643,Austroglanididae
619,Badidae
130,Bagridae
445,Balistidae
126,Balitoridae
300,Banjosidae
675,Barbourisiidae
697,Barbuccidae
336,Bathyclupeidae
383,Bathydraconidae
84,Bathylagidae
551,Bathylutichthyidae
369,Bathymasteridae
654,Bathysauridae
626,Bathysauroididae
189,Batrachoididae
563,Bedotiidae
207,Belonidae
528,Bembridae
695,Bembropidae
240,Berycidae
392,Blenniidae
439,Bothidae
696,Botiidae
381,Bovichtidae
495,Brachaeluridae
191,Brachionichthyidae
319,Bramidae
182,Bregmacerotidae
687,Bryconidae
472,Bythitidae
459,Caesionidae
511,Callanthiidae
156,Callichthyidae
435,Callionymidae
24,Callorhinchidae
252,Caproidae
314,Carangidae
187,Carapidae
11,Carcharhinidae
740,Carchariidae
320,Caristiidae
125,Catostomidae
195,Caulophrynidae
738,Cebidichthyidae
302,Centrarchidae
256,Centriscidae
530,Centrogenyidae
421,Centrolophidae
558,Centrophoridae
202,Centrophrynidae
287,Centropomidae
358,Cepolidae
203,Ceratiidae
246,Cetomimidae
154,Cetopsidae
491,Cetorhinidae
141,Chacidae
483,Chaenopsidae
343,Chaetodontidae
690,Chalceidae
367,Champsodontidae
98,Chanidae
384,Channichthyidae
431,Channidae
102,Characidae
433,Chaudhuriidae
193,Chaunacidae
355,Cheilodactylidae
630,Cheimarrichthyidae
368,Chiasmodontidae
602,Chilodontidae
25,Chimaeridae
45,Chirocentridae
353,Chironemidae
4,Chlamydoselachidae
54,Chlopsidae
163,Chlorophthalmidae
349,Cichlidae
352,Cirrhitidae
438,Citharidae
116,Citharinidae
139,Clariidae
668,Claroteidae
391,Clinidae
43,Clupeidae
127,Cobitidae
61,Colocongridae
279,Comephoridae
275,Congiopodidae
62,Congridae
315,Coryphaenidae
277,Cottidae
278,Cottocomephoridae
131,Cranoglanididae
375,Creediidae
655,Crenuchidae
394,Cryptacanthodidae
104,Ctenoluciidae
111,Curimatidae
728,Cyclopsettidae
284,Cyclopteridae
53,Cyematidae
527,Cynodontidae
442,Cynoglossidae
122,Cyprinidae
212,Cyprinodontidae
629,Cyttidae
285,Dactylopteridae
380,Dactyloscopidae
557,Dalatiidae
20,Dasyatidae
586,Datnioididae
568,Dentatherinidae
42,Denticipitidae
67,Derichthyidae
197,Diceratiidae
338,Dichistiidae
723,Dinematichthyidae
296,Dinolestidae
522,Dinopercidae
449,Diodontidae
128,Diplomystidae
237,Diretmidae
671,Distichodontidae
146,Doradidae
436,Draconettidae
510,Drepaneidae
683,Dussumieriidae
313,Echeneidae
499,Echinorhinidae
508,Elassomatidae
595,Eleginopidae
404,Eleotridae
702,Ellopostomatidae
46,Elopidae
348,Embiotocidae
322,Emmelichthyidae
454,Engraulidae
344,Enoplosidae
340,Ephippidae
507,Epigonidae
592,Erethistidae
485,Ereuniidae
103,Erythrinidae
625,Eschmeyeridae
74,Esocidae
638,Etmopteridae
537,Euclichthyidae
769,Eulophiidae
69,Eurypharyngidae
173,Evermannellidae
206,Exocoetidae
254,Fistulariidae
732,Fluviphylacidae
570,Fundulidae
183,Gadidae
79,Galaxiidae
109,Gasteropelecidae
260,Gasterosteidae
720,Gastromyzontidae
414,Gempylidae
679,Geotriidae
326,Gerreidae
234,Gibberichthyidae
200,Gigantactinidae
96,Giganturidae
493,Ginglymostomatidae
700,Girellidae
298,Glaucosomatidae
714,Glaucostegidae
531,Gnathanacanthidae
434,Gobiesocidae
405,Gobiidae
101,Gonorynchidae
88,Gonostomatidae
213,Goodeidae
293,Grammatidae
251,Grammicolepididae
715,Gurgesiellidae
41,Gymnarchidae
118,Gymnotidae
501,Gymnuridae
123,Gyrinocheilidae
327,Haemulidae
71,Halosauridae
656,Hapalogenyidae
480,Harpagiferidae
428,Helostomatidae
763,Hemerocoetidae
490,Hemigaleidae
113,Hemiodontidae
475,Hemiramphidae
492,Hemiscylliidae
585,Hemitripteridae
105,Hepsetidae
596,Heptapteridae
50,Heterenchelyidae
3,Heterodontidae
140,Heteropneustidae
271,Hexagrammidae
5,Hexanchidae
44,Hexatrygonidae
198,Himantolophidae
36,Hiodontidae
540,Hispidoberycidae
243,Holocentridae
274,Hoplichthyidae
684,Horabagridae
657,Howellidae
673,Hypnidae
546,Hypopomidae
403,Hypoptychidae
400,Icosteidae
129,Ictaluridae
689,Iguanodectidae
205,Indostomidae
